,Company Name,Company ID,Rating,Offer,Details,Original Price,Sale Price,percent_savings,Num_bought,Num_outlets,Outlet Names,Offer start date,Date retrieved
1,Jean Yip Hairdressing,4483,4.20,Hair Colour/Highlights with Scalp Protection and Stylist Cut for 1 Person,"Change your look with a fresh new coat of colour with a hair colouring or highlighting service. On top of that, protect your scalp with Scalp Protection Therapy! It is a cooling gel that will be applied to the scalp for protection during colouring of the hair.
*Scalp Protection Therapy gel will be applied before hair colouring.",S$280,S$68,76,1849,11,"['#02-43, Bugis Junction', '#04-02, Plaza Singapura', '#02-204A, Vivocity', '#04-05, Parkway Parade', '#03-13/14/K1, Tampines Mall', '#03-06/07, Junction 8', '#04-08, Compass One', 'Northpoint', 'Bukit Panjang Plaza', 'Lot One Shoppers Mall', 'IMM']",2017-09-07T00:00:00.000+08:00,2018-03-02
2,Picota Nails,2145,3.80,Gel Manicure + Classic / Gel Pedicure with Return Soak-Off for 1 Person (1 Session),Pamper talons and dip your toes with a gel manicure and choice of a classic or gel pedicure to add a little bit of colour to your life. Scan through a library of colours and pick a colour of your choice. Fret not about varnish breakage or chipping as gel polishes typically lasts longer.,S$117,S$30,74,1398,1,"['#04-03, Ion Orchard']",2016-03-15T00:00:00.000+08:00,2018-03-02
3,The Infinity Hair Art,2227,3.90,L'Oreal Hair Colouring / Highlights + Keratin Hair Treatment + Senior Stylist Cut for 1 Person,"Revamp your style and express yourself with this offer for L'Oreal hair colouring or highlights, hair treatment, and trendy hair cut by a senior stylist. Choose from a varied palette of colours and pamper brittle strands with a strengthening keratin treatment, before walking away with glossy and flaunt-worthy tresses!",S$338,S$45,87,1227,2,"['Orchard Road', 'Marine Parade']",2017-05-30T00:00:00.000+08:00,2018-03-02
4,Japan IPL Express,2215,4.30,100-Shot IPL Hair Removal for 1 Person,"Using their patented IPL technology from Japan, you can remove away your unsightly body hair permanently. The machine’s light wavelengths will close your hair follicles and stop hair growth. Treatment is quick and painless. Use the 100 shots on any part of your body and enjoy smooth succulent skin after the treatment.  ",S$198,S$65,67,1200,8,"['Esplanade MRT Station', 'Holland Village MRT Station', 'Boon Lay MRT Station', 'Somerset MRT Station', ' #B1-69,Raffles Place', '#01-21, Pasir Ris Central', '#02-16, AMK Hub', 'B2-26, NEX']",2015-09-15T00:00:00.000+08:00,2018-03-02
5,Pixie Nail Spa,2144,4.40,Gel Manicure with Return Soak-Off + Classic / Gel Pedicure for 1 Person (1 Session),"Flaunt your newly shaped and coloured nails with a gel manicure with return soak-off, while pampering your feet with your choice of a classic or gel pedicure. Gel colours last longer with minimal chipping and cracking when properly maintained.",S$117,S$30,74,1058,4,"['#B1-04,Hillion Mall', '#02-45, Chinatown Point', 'Tanjong Pagar Centre', '#B1-165, Northpoint']",2017-05-23T00:00:00.000+08:00,2018-03-02
6,Senses Spa,3140,4.40,Brazilian Waxing for 1 Person (1 Session),Rid yourself of unwanted hair with a Brazillian waxing session that will leave you with a hairless and smooth skin.,S$68,S$20,71,970,1,['Dhoby Ghaut'],2017-03-17T00:00:00.000+08:00,2018-03-02
7,DRx Medispa,1006,4.50,75-Min DRx Essential Deep Cleansing Plus Facial for 1 Person,"Pamper your skin with a facial that treats blemished, acne-prone skin and clogged pores through gentle exfoliation while hydrating and replenishing skin with essential nutrients to encourage natural skin healing. Suitable for all skin types, including acne-prone, combination, and oily skin.",S$321,S$68,79,961,2,"['Tong Building', '#03-01B, Wisma Atria']",2017-04-12T00:00:00.000+08:00,2018-03-02
8,Qoosh,2159,4.00,Gel Manicure with Return Soak Off + Classic / Gel Pedicure with Return Soak Off for 1 Person,Achieve beautiful nails that lasts longer with a gel manicure treatment complete with return soak-off. Top that off with either a classic pedicure or a gel pedicure that will give you beautifully shiny nails.,S$117,S$30,74,883,1,"['#03-03/04,Wisma Atria']",2017-05-23T00:00:00.000+08:00,2018-03-02
9,N20 Nail Spa,2222,4.20,Classic Mani-Pedi for 1 Person (1 Session),"Squeeze in a little me-time with a classic manicure and pedicure package! Get treated with Footlogix treatments for cracked heels, fungal infections, calluses, and more. Pick your colours from a wide range of branded polish, including Chanel.",S$66,S$18,73,861,2,"['#B1-07, Westgate', '#02-158, VivoCity']",2017-01-14T00:00:00.000+08:00,2018-03-02
10,Expert Hair Master,3201,3.90,"Aqua Rebonding/Aqua Japanese Perm + Moist Replacement Keratin Hair Treatment + Hydro Mist Therapy + Senior Stylist's Hair Cut, Wash, and Blow for 1 Person (1 Session)","Change up the texture of your hair for a smooth straight style or a bouncy perm with an aqua rebonding or aqua Japanese perm treatment. Replenish your hair's moisture with a hair treatment and hydrate dry hair with a hydro mist therapy. Get the latest hairstyle with a senior hairstylist's hair cut that will give you a new, trendy look.",S$304,S$68,78,835,1,"['#04-92, Far East Plaza']",2017-04-26T00:00:00.000+08:00,2018-03-02
