,Company Name,Company ID,Rating,Offer,Details,Original Price,Sale Price,percent_savings,Num_bought,Num_outlets,Outlet Names,Offer start date,Date retrieved
1,Charcoal Thai,2447,4.00,Mookata Lunch / Dinner Set for 1 Person,"Enjoy both hot pot and barbecue at the same time at this Mookata eatery. Help yourself to a serving of seafood, meat, fish-balls, and more. Then, either grill or boil them in a flavourful soup of your choosing. Come in with a hearty appetite and leave with a full stomach. ",S$46.96,S$9,81,10313,3,"['#03-07, VivoCity', '#B1/ NEX', '321 Clementi']",2017-08-11T00:00:00.000+08:00,2018-03-02
2,The Landmark,2725,4.10,(Mon - Thu) Dinner Buffet for 1 Adult,"Gather loved ones and pillage through a vast spread of local and international cuisine to devour! Start off on their assortment of soups and salads, and work your way through their main dishes of Chinese, Indian, and live cooking station that features dishes like tandoori, briyani, roasted beef, and plenty more!",S$49,S$27,45,8377,1,['Village Hotel Bugis'],2017-09-25T00:00:00.000+08:00,2018-03-02
3,The Landmark,2725,4.10,(Fri - Sun & PH) International Dinner Buffet for 1 Adult,"Gather loved ones and pillage through a vast spread of local and international cuisine to devour! Start off with their assortment of soups and salads, and work your way through their main dishes of Chinese, Indian, and live cooking station that features dishes like tandoori, biryani, roasted beef, and plenty more!",S$59,S$32.90,44,6781,1,['Village Hotel Bugis'],2017-09-25T00:00:00.000+08:00,2018-03-02
4,The Landmark,2725,4.10,Daily Lunch Buffet for 1 Adult,"Gather loved ones and pillage through a vast spread of local and international cuisine to devour! Start off on their assortment of soups and salads, and work your way through their main dishes of Chinese, Indian, and live cooking station that features dishes like tandoori, briyani, roasted beef, and plenty more!",S$42.90,S$24.90,42,6392,1,['Village Hotel Bugis'],2017-09-25T00:00:00.000+08:00,2018-03-02
5,Ji De Chi,3722,4.20,Mango Sweet-in-Heart with One (1) Topping,Cool off from the tropical weather with a refreshing bowl of mango flavoured dessert. Sweet in Heart dessert which is a mango based dessert with toppings of either herbal jelly or mini rice balls.,S$6.50,S$3.90,40,6387,7,"['#B2-53, Plaza Singapura', '#02-K02, The Centrepoint', '#01-07/k3, Eastpoint Mall', 'B1-43/K9, Waterway Point', '#02-22A/K7/K8, Jurong Point', 'Bugis', 'Satay by the Bay']",2017-08-02T00:00:00.000+08:00,2018-03-02
6,QQ Rice,3805,4.30,Oat Rice Set Meal with Organic Soya Drink for 1 Person,"Treat yourself to a healthy set meal consisting of oat rice. Choose from sesame oil mushroom, fragrance shrimp oat, jiu cai shrimp oat, or black fungus chicken. Pair it with the hearty taste of an organic soya drink.",S$7.20,S$5,31,5143,12,"[' B1-07, One Raffles Place', 'Alexandra Retail Centre', 'Square 2 (Novena)', '#01-22, HDB Hub (Toa Payoh)', 'NUH (ONE@KENTRIDGE)', 'Our Tampines Hub', 'Tampines MRT', '#B2-07, AMK Hub', '#B2-48B, NEX ', 'Woodlands MRT', '#B2-51, Hillion Mall', '#01-32, Jurong Point']",2018-01-04T00:00:00.000+08:00,2018-03-02
7,QQ Rice,3805,4.30,Spiced Chicken and Oat Rice Bento Box + Organic Soya for 1 Person,"Give your meal a healthy twist with a chicken bento box that comes with your choice of rosemary herb chicken, Peranakan herb chicken, ayam masak merah, or Ah Ma curry chicken. Wash it all down with a black bean soya or brown rice coffee drink!",S$8.90,S$6.60,26,5136,12,"[' B1-07, One Raffles Place', 'Alexandra Retail Centre', 'Square 2 (Novena)', '#01-22, HDB Hub (Toa Payoh)', 'NUH (ONE@KENTRIDGE)', 'Our Tampines Hub', 'Tampines MRT', '#B2-07, AMK Hub', '#B2-48B, NEX ', 'Woodlands MRT', '#B2-51, Hillion Mall', '#01-32, Jurong Point']",2017-08-16T00:00:00.000+08:00,2018-03-02
8,Tea Valley,1239,4.30,Two (2) Rice/Noodle with Two (2) Bubble Teas for 2 People,Enjoy a lunch or dinner meal with this set that includes a main dish and one cup of bubble tea. Choose between a rice or a noodle dish and pair it with a refreshing cup of bubble with a flavour of your choice.,S$21.40,S$12.80,40,4987,3,"['#01-340, Downtown East', '#B1-47, Clarke Quay Central', '#02-110, Tiong Bahru Plaza']",2017-07-22T00:00:00.000+08:00,2018-03-02
9,Steamov,4672,4.50,Mini Steamboat Hotpot Set for 1 Person,Who doesn't like a good hotpot? Indulge in a mini hotpot set all to yourself. Choose from 10 types of soup bases and the choice of clamped & short skewered food or long and flat skewered foot.,S$23.50,S$13,45,4411,1,['Steamov @ New Bridge Road'],2017-12-04T00:00:00.000+08:00,2018-03-02
10,Charcoal Thai,2447,4.00,Mookata Dinner Buffet for 1 Person,"Enjoy both hot pot and barbecue at the same time at this Mookata eatery. Help yourself to a serving of seafood, meat, fish-balls, and more. Then, either grill or boil them in a flavourful soup of your choosing. Come in with a hearty appetite and leave with a full stomach. ",S$28.18,S$16.90,40,3603,2,"['#B1/ NEX', '321 Clementi']",2017-08-11T00:00:00.000+08:00,2018-03-02
11,QQ Rice,3805,4.30,Flavoured Mixed Grain Snack Roll + Organic Soya for 1 Person,"Spice up your day with a healthy snack of a rice-based snack roll and drink. Choose from sumptuous selections like butter chicken, BBQ chicken, assorted mushroom, or the high-in-wholegrain Emperor Veg roll.",S$4.40,S$3,32,3262,12,"[' B1-07, One Raffles Place', 'Alexandra Retail Centre', 'Square 2 (Novena)', '#01-22, HDB Hub (Toa Payoh)', 'NUH (ONE@KENTRIDGE)', 'Our Tampines Hub', 'Tampines MRT', '#B2-07, AMK Hub', '#B2-48B, NEX ', 'Woodlands MRT', '#B2-51, Hillion Mall', '#01-32, Jurong Point']",2017-08-16T00:00:00.000+08:00,2018-03-02
12,Fusion Spoon at Botanic Gardens,5064,4.10,2-Course Western or Asian Meal with Drink for 1 Person,"Encapsulate your love for the East and West with a 2-course Western or Asian meal from Fusion Spoon! Pick out savoury favourites like spaghetti carbonara, Nyonya curry chicken with potatoes, chicken teriyaki donburi, rosemary chicken, and plenty more. Start off with an appetiser, and end with a thirst-quenching drink of your choice!",S$19.69,S$10.80,45,3197,1,['Singapore Botanic Gardens'],2017-12-13T00:00:00.000+08:00,2018-03-02
13,Wafuken,1097,4.50,$20 Cash Voucher for Sous-Vide Japanese Cuisine,"Ready your appetite for an experience of sous-vide Japanese dishes from Wafuken. Try out Norwegian salmon aburi (lightly seared) and sprinkled with konbu, wagyu steak seasoned with truffle salt and perfumed with black winter truffle oil, and more!",S$20,S$15,25,3014,2,"['#02-05, Asia Square Tower 2', '#02-23, OUE Downtown Gallery']",2018-02-02T00:00:00.000+08:00,2018-03-02
14,Mei Heong Yuen Dessert,4331,4.40,Two (2) Oriental Paste / Desserts,"For a health concious company speacializing in desserts, you are never short on choices when it comes to healthy dessert options in Mei Heung Yuen's menu. For this deal, you have the option to choose from either oriental pastes, which flavours are walnut, sesame, almond, peanut, and yam, or the variety of desserts that include mango pudding, red bean lotus, herbal jelly, and more.",S$7,S$3.90,44,2930,2,"['Clementi', '#03-207, Marina Square']",2017-08-11T00:00:00.000+08:00,2018-03-02
15,Yum Cha Restaurant,3792,4.10,Dim Sum Buffet for 1 Person,"Enjoy dim sum for breakfast? Why not have it for dinner too? Savour your favourite plates of dim sum dishes like siew mai, rainbow seafood dumpling, sea treasure dumpling, shredded prawn congee, and more.",S$28,S$21.80,22,2881,1,['Chinatown'],2017-08-01T00:00:00.000+08:00,2018-03-02
